condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,1148712.455,0.993,0.040,-0.106,-0.015,2284,0,17,1525,507,0,0,334,30,0.000,1,VALID,455,1,3.139,0.078,-1.438,2.688,0.750,-0.219,-0.113,0.965,-0.004,-0.078,-0.016,0.000,0.000,0.370,0.436,2,NULL,NULL,1148.000,2,0,2,1,255,1148,200,0,0
pre_stim,4,4,0,4,1148717.454,0.993,0.040,-0.106,-0.015,2296,0,24,1531,517,0,0,332,30,0.000,1,VALID,455,1,3.633,0.070,-0.438,3.563,-0.563,-0.215,-0.102,0.969,0.023,-0.066,-0.031,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,9,9,0,9,1148722.454,0.993,0.040,-0.106,-0.015,2309,0,22,1563,517,0,0,331,30,0.000,1,VALID,455,1,2.932,0.031,1.250,2.625,0.375,-0.219,-0.109,0.988,0.023,0.020,-0.031,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,14,14,0,14,1148727.454,0.993,0.040,-0.106,-0.015,2317,0,27,1561,525,0,0,331,30,0.000,1,VALID,455,1,3.320,0.074,-0.750,2.125,-2.438,-0.270,-0.078,0.977,0.023,0.070,0.152,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,19,19,0,19,1148732.454,0.993,0.040,-0.106,-0.015,2325,0,21,1567,537,0,0,327,30,0.000,1,VALID,455,1,6.263,0.218,-2.563,3.750,-4.313,-0.207,-0.086,0.973,0.055,0.211,0.152,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,25,25,0,25,1148737.455,0.993,0.040,-0.106,-0.015,2329,0,31,1575,551,0,0,330,30,0.000,1,VALID,455,1,2.509,0.324,-0.375,1.625,1.875,-0.219,-0.074,1.020,0.098,0.309,0.152,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,29,29,0,29,1148742.454,0.993,0.040,-0.107,-0.015,2333,0,35,1578,563,0,0,335,30,0.000,1,VALID,455,1,3.579,0.399,-3.500,0.750,0.000,-0.277,-0.043,0.996,0.098,0.387,0.289,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,34,34,0,34,1148747.454,0.993,0.040,-0.107,-0.015,2336,0,39,1581,579,0,0,329,30,0.000,1,VALID,455,1,8.286,0.561,-6.063,2.375,-5.125,-0.258,-0.066,0.973,-0.379,0.414,0.289,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,39,39,0,39,1148752.454,0.993,0.040,-0.107,-0.015,2339,0,40,1597,587,0,0,329,30,0.000,1,VALID,455,1,6.600,0.698,-1.313,0.625,-6.438,-0.207,-0.055,1.027,-0.379,0.586,0.289,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,45,45,0,45,1148757.455,0.993,0.041,-0.107,-0.015,2342,0,38,1587,589,0,0,319,30,0.000,1,VALID,455,1,6.863,0.418,-6.000,1.313,-3.063,-0.215,-0.105,0.969,0.055,0.414,0.078,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,50,50,0,50,1148762.455,0.993,0.041,-0.107,-0.014,2336,0,42,1576,599,0,0,327,30,0.000,1,VALID,455,1,5.921,0.480,-4.000,1.750,-4.000,-0.238,-0.066,1.008,0.055,0.477,0.359,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,54,54,0,54,1148767.454,0.993,0.041,-0.107,-0.014,2333,0,40,1587,603,0,0,313,30,0.000,1,VALID,455,1,8.541,0.393,-3.563,0.438,-7.750,-0.238,-0.074,0.984,-0.105,0.379,0.160,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,59,59,0,59,1148772.453,0.993,0.041,-0.107,-0.014,2324,0,39,1575,603,0,0,310,30,0.000,1,VALID,455,1,9.724,0.393,-6.688,2.438,-6.625,-0.195,-0.145,0.977,-0.105,0.379,0.160,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,64,64,0,64,1148777.454,0.993,0.042,-0.107,-0.014,2313,0,41,1563,603,0,0,304,30,0.000,1,VALID,455,1,3.045,0.342,-2.875,-1.000,0.063,-0.230,-0.082,1.000,-0.039,0.340,0.160,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,70,70,0,70,1148782.455,0.993,0.042,-0.107,-0.014,2283,0,39,1555,605,0,0,295,30,0.000,1,VALID,455,1,10.689,0.342,-6.438,0.750,-8.500,-0.336,-0.074,0.965,-0.039,0.340,0.160,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,74,74,0,74,1148787.454,0.993,0.042,-0.107,-0.013,2261,0,41,1525,609,0,0,281,30,0.000,1,VALID,455,1,13.871,0.354,-0.250,-1.250,-13.813,-0.184,-0.063,1.020,-0.039,0.352,0.277,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,79,79,0,79,1148792.454,0.993,0.042,-0.107,-0.013,2218,0,33,1517,602,0,0,275,30,0.000,1,VALID,455,1,7.391,0.564,-7.375,0.313,-0.375,-0.184,-0.152,1.027,0.441,0.352,0.352,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,84,84,0,84,1148797.454,0.993,0.042,-0.107,-0.013,2153,0,31,1453,597,0,0,276,30,0.000,1,VALID,455,1,8.213,0.697,-6.375,-2.563,4.500,-0.316,-0.016,0.984,0.441,0.539,0.352,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,90,90,0,90,1148802.455,0.993,0.042,-0.107,-0.013,2073,0,30,1381,593,0,0,269,30,0.000,1,VALID,455,1,15.220,1.337,-2.125,-0.500,-15.063,-0.340,-0.004,1.000,-0.941,0.949,0.457,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,95,95,0,95,1148807.455,0.993,0.042,-0.107,-0.012,1947,0,26,1309,579,0,0,267,30,0.000,1,VALID,455,1,11.607,1.337,-1.188,-2.313,-11.313,-0.188,-0.113,1.031,-0.941,0.949,0.457,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,99,99,0,99,1148812.453,0.993,0.042,-0.106,-0.012,1771,0,27,1211,574,0,0,249,30,0.000,1,VALID,455,1,4.022,1.089,-1.688,-2.875,-2.250,-0.250,0.027,1.098,-0.086,1.086,0.508,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,104,104,0,104,1148817.454,0.993,0.043,-0.106,-0.012,1563,0,29,1104,581,0,0,231,30,0.000,1,VALID,455,1,12.681,1.311,-5.250,-1.000,-11.500,-0.379,0.012,1.051,-0.086,1.309,0.996,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,109,109,0,109,1148822.453,0.993,0.042,-0.106,-0.011,1299,0,25,967,573,0,0,221,30,0.000,1,VALID,455,1,20.846,1.514,-1.500,-1.313,-20.750,-0.242,0.051,1.086,-0.086,1.512,0.996,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,115,115,0,115,1148827.455,0.993,0.043,-0.106,-0.010,1080,0,25,843,569,0,0,227,30,0.000,1,VALID,455,1,13.601,1.309,-6.500,1.313,-11.875,-0.250,-0.059,1.090,-0.047,1.309,0.996,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,120,120,0,120,1148832.455,0.993,0.043,-0.107,-0.010,839,0,24,649,555,0,0,223,30,0.000,1,VALID,455,1,16.683,0.763,-14.188,2.188,-8.500,-0.395,-0.047,1.051,-0.047,0.762,1.102,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,124,124,0,124,1148837.454,0.993,0.044,-0.107,-0.009,651,0,23,465,571,0,0,219,30,0.000,1,VALID,455,1,25.838,1.710,-15.125,2.875,-20.750,-0.414,0.051,0.992,-1.531,0.762,1.102,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,129,129,0,129,1148842.454,0.993,0.045,-0.107,-0.008,472,0,27,313,568,0,0,215,30,0.000,1,VALID,455,1,29.791,2.013,-12.625,4.750,-26.563,-0.414,-0.063,0.914,-1.863,0.762,0.457,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,134,134,0,134,1148847.454,0.993,0.045,-0.107,-0.008,284,0,27,213,549,0,0,209,30,0.000,1,VALID,455,1,21.874,2.085,-15.688,6.313,-13.875,-0.586,-0.047,0.871,-2.000,0.590,-0.156,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,140,140,0,140,1148852.455,0.993,0.046,-0.108,-0.007,181,0,37,85,543,0,0,204,30,0.000,1,VALID,455,1,24.054,3.769,-20.375,8.625,-9.438,-0.742,0.160,0.746,-3.723,0.590,-0.199,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,144,144,0,144,1148857.454,0.993,0.046,-0.108,-0.006,157,0,53,18,544,0,0,203,30,0.000,1,VALID,455,0,24.493,5.492,-1.625,9.688,-22.438,-0.707,0.082,0.734,-5.215,1.723,-1.266,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,149,149,0,149,1148862.454,0.993,0.046,-0.109,-0.005,115,0,63,0,539,0,0,209,30,0.000,1,VALID,455,0,22.211,5.492,4.625,11.688,-18.313,-0.652,-0.004,0.793,-5.215,1.723,-1.266,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,154,154,0,154,1148867.454,0.993,0.046,-0.109,-0.005,87,0,74,0,554,0,0,213,30,0.000,1,VALID,455,0,13.516,5.492,-0.500,13.500,-0.438,-0.758,0.102,0.738,-5.215,1.723,-1.242,0.000,0.000,0.370,0.436,2,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,160,160,0,160,1148872.455,0.993,0.046,-0.110,-0.006,84,0,89,0,541,0,0,213,30,0.000,1,VALID,455,0,15.375,5.971,3.625,14.188,4.688,-0.906,0.152,0.605,-5.660,1.902,-1.242,0.000,0.000,0.370,0.436,3,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,165,165,0,165,1148877.455,0.993,0.045,-0.110,-0.005,75,0,100,0,564,0,0,217,30,0.000,1,VALID,455,0,28.132,7.632,24.875,12.875,-2.625,-0.949,0.051,0.609,-7.391,1.902,-1.949,0.000,0.000,0.370,0.436,4,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,169,169,0,169,1148882.454,0.993,0.044,-0.111,-0.005,72,0,103,0,559,0,0,206,30,0.000,1,VALID,455,0,36.040,7.536,34.000,11.938,-0.625,-0.938,0.059,0.766,-7.391,1.473,-1.949,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,174,174,0,174,1148887.454,0.993,0.042,-0.111,-0.005,75,0,109,0,559,0,0,211,30,0.000,1,VALID,455,0,33.876,7.881,29.813,11.250,11.500,-1.016,0.129,0.836,-7.742,1.473,-0.488,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,179,179,0,179,1148892.454,0.993,0.041,-0.112,-0.006,82,0,109,0,562,0,0,214,30,0.000,1,VALID,455,0,34.155,8.088,29.875,9.313,13.688,-1.129,0.094,0.871,-7.867,1.875,0.266,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,185,185,0,185,1148897.455,0.993,0.040,-0.112,-0.006,83,0,109,0,564,0,0,218,30,0.000,1,VALID,455,0,27.624,9.059,25.813,7.938,5.813,-1.148,0.055,0.906,-8.863,1.875,0.934,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,190,190,0,190,1148902.455,0.993,0.039,-0.113,-0.006,81,0,111,0,557,0,0,212,30,0.000,1,VALID,455,0,19.074,8.995,16.500,8.000,5.250,-1.121,0.063,0.844,-8.863,1.531,0.934,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,194,194,0,194,1148907.454,0.993,0.038,-0.113,-0.006,81,0,112,0,555,0,0,221,30,0.000,1,VALID,455,0,18.196,9.073,13.500,8.438,8.813,-1.145,0.055,0.762,-8.945,1.516,0.695,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,199,199,0,199,1148912.454,0.993,0.038,-0.113,-0.006,83,0,117,0,550,0,0,213,30,0.000,1,VALID,455,0,18.439,9.302,14.500,8.938,7.063,-1.156,0.000,0.738,-9.207,1.324,-0.012,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,204,204,0,204,1148917.454,0.993,0.037,-0.114,-0.007,83,0,122,0,537,0,0,215,30,0.000,1,VALID,455,0,18.354,9.237,14.750,9.438,5.500,-1.125,-0.047,0.734,-9.207,0.746,-0.148,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,210,210,0,210,1148922.455,0.993,0.036,-0.114,-0.007,83,0,120,0,533,0,0,217,30,0.000,1,VALID,455,0,19.643,9.063,15.125,10.438,6.938,-1.121,-0.051,0.730,-9.059,0.281,-0.184,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,214,214,0,214,1148927.454,0.993,0.036,-0.115,-0.007,85,0,124,0,533,0,0,212,30,0.000,1,VALID,455,0,22.168,9.062,16.563,12.250,8.188,-1.133,-0.051,0.742,-9.059,0.230,-0.184,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,219,219,0,219,1148932.454,0.993,0.035,-0.116,-0.007,83,0,125,0,535,0,0,217,30,0.000,1,VALID,455,0,23.887,8.999,16.438,15.625,7.500,-1.121,-0.051,0.758,-8.996,0.227,-0.098,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,224,224,0,224,1148937.454,0.993,0.034,-0.116,-0.007,81,0,126,0,532,0,0,215,30,0.000,1,VALID,455,0,27.872,8.932,16.938,20.688,7.875,-1.090,-0.055,0.773,-8.930,0.211,0.043,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,230,230,0,230,1148942.455,0.992,0.033,-0.118,-0.008,82,0,128,0,535,0,0,216,30,0.000,1,VALID,455,0,31.934,8.589,14.750,27.313,7.500,-1.098,-0.031,0.824,-8.586,0.211,0.137,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,235,235,0,235,1148947.455,0.992,0.033,-0.119,-0.008,82,0,127,0,536,0,0,214,30,0.000,1,VALID,455,0,38.743,8.499,15.375,35.063,5.938,-1.063,-0.039,0.801,-8.492,0.344,0.367,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,239,239,0,239,1148952.454,0.992,0.032,-0.121,-0.008,83,0,125,0,539,0,0,220,30,0.000,1,VALID,455,0,45.562,8.200,16.188,42.000,7.063,-1.063,-0.016,0.844,-8.188,0.449,0.629,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,244,244,0,244,1148957.454,0.992,0.031,-0.123,-0.008,81,0,125,0,549,0,0,217,30,0.000,1,VALID,455,0,51.551,8.065,12.938,49.500,6.313,-1.020,-0.016,0.855,-8.043,0.598,0.801,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,249,249,0,249,1148962.454,0.992,0.031,-0.126,-0.008,82,0,135,0,551,0,0,220,30,0.000,1,VALID,455,0,59.366,7.598,10.313,57.000,13.000,-0.969,-0.035,0.840,-7.574,0.598,0.801,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,255,255,0,255,1148967.455,0.991,0.030,-0.128,-0.008,83,0,133,0,554,0,0,223,30,0.000,1,VALID,455,0,65.592,7.598,13.000,63.438,10.438,-1.074,0.020,0.801,-7.574,0.602,0.609,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,259,259,0,259,1148972.454,0.991,0.030,-0.131,-0.008,81,0,141,0,555,0,0,225,30,0.000,1,VALID,455,0,71.002,7.107,16.563,69.000,2.438,-0.969,-0.012,0.832,-7.082,0.590,0.609,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,264,264,0,264,1148977.454,0.990,0.029,-0.135,-0.008,79,0,139,0,555,0,0,227,30,0.000,1,VALID,455,0,75.419,7.001,14.813,73.313,9.688,-0.945,-0.016,0.875,-6.977,0.590,0.617,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,269,269,0,269,1148982.454,0.990,0.028,-0.138,-0.008,81,0,145,0,557,0,0,227,30,0.000,1,VALID,455,0,78.827,6.803,13.938,76.938,10.000,-0.969,0.016,0.855,-6.777,0.590,0.883,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,275,275,0,275,1148987.455,0.990,0.028,-0.141,-0.008,77,0,143,0,555,0,0,222,30,0.000,1,VALID,455,0,81.475,6.618,15.875,79.688,6.000,-0.953,0.020,0.883,-6.566,0.828,0.969,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,280,280,0,280,1148992.455,0.989,0.027,-0.145,-0.008,79,0,153,0,554,0,0,223,30,0.000,1,VALID,455,0,83.427,6.518,12.563,82.313,5.188,-0.902,0.000,0.906,-6.465,0.828,1.156,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,284,284,0,284,1148997.454,0.988,0.027,-0.149,-0.008,81,0,149,0,552,0,0,225,30,0.000,1,VALID,455,0,85.640,5.880,11.125,84.625,7.000,-0.863,-0.020,0.859,-5.836,0.719,1.156,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,289,289,0,289,1149002.454,0.988,0.026,-0.152,-0.008,82,0,153,0,551,0,0,225,30,0.000,1,VALID,455,0,87.913,5.613,15.625,86.188,7.500,-0.871,0.008,0.852,-5.566,0.719,0.770,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,294,294,0,294,1149007.454,0.987,0.025,-0.156,-0.008,79,0,151,0,549,0,0,225,30,0.000,1,VALID,455,0,89.959,5.582,17.813,88.125,3.063,-0.828,-0.012,0.895,-5.551,0.594,0.770,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,300,300,0,300,1149012.455,0.987,0.025,-0.160,-0.008,84,0,149,0,552,0,0,221,30,0.000,1,VALID,455,0,91.871,4.994,18.438,90.000,0.625,-0.785,-0.004,0.898,-4.953,0.641,0.996,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,305,305,0,305,1149017.455,0.986,0.024,-0.164,-0.007,81,0,148,0,553,0,0,229,30,0.000,1,VALID,455,0,94.237,4.495,20.125,92.063,0.250,-0.742,-0.004,0.914,-4.449,0.641,1.039,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,309,309,0,309,1149022.454,0.985,0.023,-0.168,-0.007,87,0,151,0,552,0,0,225,30,0.000,1,VALID,455,0,96.728,3.953,20.250,94.563,-2.063,-0.723,0.016,0.926,-3.898,0.656,1.039,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,314,314,0,314,1149027.454,0.985,0.022,-0.172,-0.006,81,0,149,0,552,0,0,223,30,0.000,1,VALID,455,0,99.141,3.672,22.125,96.563,-3.875,-0.676,0.008,0.934,-3.594,0.754,1.066,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,319,319,0,319,1149032.454,0.984,0.021,-0.177,-0.006,83,0,149,0,555,0,0,227,30,0.000,1,VALID,455,0,101.253,3.146,23.063,98.563,-2.375,-0.625,0.000,0.957,-3.055,0.754,1.113,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,325,325,0,325,1149037.455,0.983,0.020,-0.181,-0.005,83,0,153,0,555,0,0,224,30,0.000,1,VALID,455,0,102.726,2.525,24.313,99.750,-3.375,-0.641,0.031,0.965,-2.410,0.754,1.113,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,329,329,0,329,1149042.454,0.982,0.019,-0.186,-0.005,83,0,155,0,555,0,0,227,30,0.000,1,VALID,455,0,104.240,2.539,25.063,100.875,-7.875,-0.582,0.016,0.992,-2.395,0.844,1.266,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,334,334,0,334,1149047.454,0.982,0.018,-0.190,-0.004,83,0,149,0,557,0,0,230,30,0.000,1,VALID,455,0,105.674,1.894,24.250,102.438,-9.250,-0.520,0.012,1.004,-1.695,0.844,1.266,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,339,339,0,339,1149052.454,0.981,0.017,-0.195,-0.003,79,0,157,0,557,0,0,233,30,0.000,1,VALID,455,0,107.096,1.296,24.250,104.063,-7.250,-0.488,0.027,1.008,-0.984,0.844,1.219,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,345,345,0,345,1149057.455,0.980,0.016,-0.199,-0.002,87,0,168,0,563,0,0,236,30,0.000,1,VALID,455,0,109.547,1.105,24.313,106.375,-9.688,-0.473,0.039,1.008,-0.598,0.930,1.125,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,350,350,0,350,1149062.455,0.979,0.015,-0.204,-0.002,87,0,175,0,563,0,0,236,30,0.000,1,VALID,455,0,111.248,1.076,24.438,108.125,-9.375,-0.418,0.039,1.016,-0.320,1.027,1.074,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,354,354,0,354,1149067.454,0.978,0.014,-0.209,-0.001,87,0,172,0,565,0,0,237,30,0.000,1,VALID,455,0,111.769,1.074,23.250,109.063,-7.563,-0.406,0.055,1.008,0.273,1.039,0.930,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,359,359,0,359,1149072.454,0.977,0.013,-0.213,-0.000,87,0,181,0,569,0,0,239,30,0.000,1,VALID,455,0,112.122,1.197,23.688,109.313,-7.813,-0.375,0.055,0.984,0.469,1.102,0.773,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,364,364,0,364,1149077.454,0.976,0.012,-0.218,0.001,90,0,189,0,578,0,0,243,30,0.000,1,VALID,455,0,111.519,1.322,24.750,108.500,-7.188,-0.344,0.055,0.977,0.730,1.102,0.461,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,370,370,0,370,1149082.455,0.975,0.011,-0.222,0.001,91,0,183,0,581,0,0,245,30,0.000,1,VALID,455,0,110.134,1.547,25.063,107.063,-6.250,-0.313,0.063,0.984,1.086,1.102,0.258,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,375,375,0,375,1149087.455,0.974,0.010,-0.226,0.002,91,0,186,0,587,0,0,246,30,0.000,1,VALID,455,0,107.864,1.824,21.438,105.563,-5.625,-0.277,0.051,0.996,1.469,1.082,0.188,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,379,379,0,379,1149092.454,0.973,0.009,-0.230,0.002,93,0,186,0,587,0,0,247,30,0.000,1,VALID,455,0,106.285,2.175,25.000,103.250,-3.313,-0.246,0.043,0.922,1.926,1.012,0.117,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,384,384,0,384,1149097.454,0.972,0.007,-0.234,0.003,95,0,186,0,589,0,0,247,30,0.000,1,VALID,455,0,105.598,2.150,31.188,100.875,-1.563,-0.238,0.043,0.977,1.953,0.898,-0.262,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,389,389,0,389,1149102.454,0.971,0.006,-0.239,0.004,99,0,186,0,593,0,0,253,30,0.000,1,VALID,455,0,103.018,2.528,28.438,99.000,-1.750,-0.211,0.027,1.000,2.367,0.887,-0.262,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,395,395,0,395,1149107.455,0.970,0.005,-0.243,0.004,101,0,171,0,599,0,0,260,30,0.000,1,VALID,455,0,101.158,2.859,26.938,97.500,-1.000,-0.188,0.020,0.969,2.773,0.695,-0.262,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,399,399,0,399,1149112.453,0.969,0.004,-0.247,0.004,104,0,191,0,597,0,0,265,30,0.000,1,VALID,455,0,100.551,2.956,28.875,96.313,-0.813,-0.168,0.004,0.961,2.898,0.582,-0.598,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
pre_stim,404,404,0,404,1149117.454,0.968,0.003,-0.251,0.005,107,0,183,0,601,0,0,267,30,0.000,1,VALID,455,0,99.810,3.160,29.000,95.500,-0.875,-0.148,-0.008,0.977,3.133,0.414,-0.781,0.000,0.000,0.370,0.436,0,NULL,NULL,,2,0,2,1,255,1148,200,0,0
