condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,1039015.458,-0.966,-0.012,-0.241,0.091,2747,1087,2165,2855,1771,2163,1086,2065,50,0.000,1,537,1,6.380,0.135,2.750,5.375,-2.063,0.430,-0.105,0.844,0.098,0.094,-0.023,0.000,0.000,0.482,0.445,2,NULL,NULL,1178.000,2,0,1,7,255,1178,250,0,0
pre_stim,0,0,0,0,1039020.458,-0.966,-0.013,-0.241,0.090,2735,1083,2157,2848,1625,2149,1083,2053,50,0.000,1,537,1,10.514,0.144,-4.875,2.625,-8.938,0.426,-0.102,0.898,-0.105,-0.098,-0.039,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,0,0,0,0,1039025.457,-0.966,-0.013,-0.241,0.090,2732,1073,2149,2847,1747,2141,1077,2025,50,0.000,1,537,1,9.083,0.144,-3.625,-4.313,-7.125,0.492,-0.098,0.930,-0.105,-0.098,-0.039,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,0,0,0,0,1039030.458,-0.966,-0.012,-0.241,0.090,2715,1055,2129,2835,1743,2125,1068,2003,50,0.000,1,537,1,4.834,0.103,4.625,-0.500,-1.313,0.461,-0.121,0.859,0.031,-0.098,-0.039,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,1,1,0,1,1039035.458,-0.966,-0.012,-0.241,0.090,2701,1041,2111,2835,1709,2109,1059,1983,50,0.000,1,537,1,8.931,0.144,-1.875,3.500,-8.000,0.426,-0.105,0.840,0.031,-0.141,-0.199,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,1,1,0,1,1039040.458,-0.966,-0.013,-0.241,0.089,2687,1013,2099,2825,1717,2090,1023,1963,50,0.000,1,537,1,8.168,0.159,-3.375,-3.125,-6.750,0.480,-0.109,0.938,-0.074,-0.141,-0.199,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,7,7,0,7,1039045.457,-0.966,-0.012,-0.241,0.089,2671,991,2078,2813,1704,2069,1005,1943,50,0.000,1,537,1,4.866,0.159,3.688,-2.563,-1.875,0.445,-0.145,0.879,-0.074,-0.141,-0.063,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,7,7,0,7,1039050.458,-0.966,-0.012,-0.241,0.089,2659,975,2055,2824,1625,2055,958,1916,50,0.000,1,537,1,10.176,0.117,-2.188,-0.125,-9.938,0.445,-0.102,0.820,-0.074,-0.090,-0.063,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,14,14,0,14,1039055.458,-0.966,-0.012,-0.241,0.089,2649,949,2025,2795,1647,2029,943,1895,50,0.000,1,537,1,6.017,0.486,2.063,-3.250,-4.625,0.473,-0.148,0.949,-0.074,-0.480,-0.063,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,14,14,0,14,1039060.458,-0.966,-0.012,-0.241,0.089,2624,915,2001,2794,1621,2017,939,1871,50,0.000,1,537,1,7.005,0.071,2.500,-2.750,-5.938,0.449,-0.090,0.852,-0.008,-0.070,-0.344,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,30,30,0,30,1039065.458,-0.966,-0.012,-0.242,0.088,2601,889,1969,2781,1583,1991,923,1842,50,0.000,1,537,1,8.360,0.296,-1.188,-3.063,-7.688,0.465,-0.125,0.902,-0.039,-0.293,0.188,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,30,30,0,30,1039070.458,-0.966,-0.012,-0.242,0.088,2591,871,1929,2771,1544,1967,901,1815,50,0.000,1,537,1,8.552,0.199,5.438,-4.000,-5.250,0.453,-0.113,0.906,-0.039,-0.195,0.164,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,38,38,0,38,1039075.460,-0.966,-0.012,-0.242,0.088,2567,845,1895,2747,1482,1947,873,1791,50,0.000,1,537,1,10.335,0.199,-1.500,-3.938,-9.438,0.461,-0.105,0.871,-0.039,-0.195,0.164,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,38,38,0,38,1039080.458,-0.966,-0.011,-0.242,0.088,2547,824,1867,2735,1513,1933,837,1772,50,0.000,1,537,1,10.702,0.188,6.750,-4.750,-6.813,0.461,-0.105,0.910,-0.141,-0.125,0.164,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,81,81,0,81,1039085.457,-0.966,-0.011,-0.242,0.087,2509,799,1823,2717,1480,1907,799,1753,50,0.000,1,537,1,11.264,0.121,0.688,-5.375,-9.875,0.469,-0.102,0.879,0.031,-0.117,0.000,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,81,81,0,81,1039090.458,-0.966,-0.011,-0.242,0.087,2484,741,1771,2694,1433,1895,747,1720,50,0.000,1,537,1,11.122,0.188,6.313,-6.188,-6.750,0.473,-0.113,0.941,-0.141,-0.125,0.234,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,81,81,0,81,1039095.458,-0.966,-0.011,-0.243,0.087,2457,703,1707,2660,1357,1863,679,1689,50,0.000,1,537,1,10.022,0.070,-1.438,-6.563,-7.438,0.477,-0.098,0.887,0.031,-0.063,0.102,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,81,81,0,81,1039100.458,-0.966,-0.010,-0.243,0.086,2407,684,1669,2637,1432,1837,628,1647,50,0.000,1,537,1,13.418,0.208,8.625,-8.063,-6.375,0.480,-0.051,0.938,-0.207,-0.023,0.496,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,82,82,0,82,1039105.459,-0.966,-0.010,-0.243,0.086,2361,663,1613,2603,1467,1803,603,1599,50,0.000,1,537,1,10.313,0.216,0.125,-8.250,-6.188,0.480,-0.117,1.008,-0.215,-0.023,0.496,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,82,82,0,82,1039110.458,-0.966,-0.010,-0.244,0.086,2295,633,1575,2552,1455,1765,553,1545,50,0.000,1,537,1,12.168,0.491,3.188,-10.375,-5.500,0.477,0.020,0.902,-0.215,0.441,0.496,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,84,84,0,84,1039115.457,-0.966,-0.010,-0.244,0.086,2221,585,1487,2513,1423,1718,502,1495,50,0.000,1,537,1,13.423,0.471,4.375,-11.313,-5.750,0.457,-0.102,1.059,-0.461,-0.098,1.152,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,84,84,0,84,1039120.458,-0.966,-0.010,-0.245,0.086,2107,507,1419,2430,1307,1691,436,1445,50,0.000,1,537,1,15.104,0.935,-3.063,-13.375,-6.313,0.488,-0.004,0.961,-0.367,0.859,0.707,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,84,84,0,84,1039125.458,-0.966,-0.009,-0.245,0.086,1945,457,1369,2351,1184,1624,395,1395,50,0.000,1,537,1,15.980,0.832,3.000,-15.688,0.500,0.492,-0.055,1.059,-0.727,0.406,1.477,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,84,84,0,84,1039130.458,-0.965,-0.010,-0.246,0.086,1727,390,1331,2267,1276,1572,359,1319,50,0.000,1,537,1,21.008,0.832,-4.875,-19.875,4.750,0.426,-0.063,1.066,-0.727,0.406,1.391,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,98,98,0,98,1039135.457,-0.965,-0.010,-0.247,0.086,1434,329,1275,2120,1049,1477,326,1257,50,0.000,1,537,1,23.658,1.148,-6.813,-22.625,1.188,0.426,0.000,0.988,-1.074,0.406,1.391,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,98,98,0,98,1039140.458,-0.965,-0.009,-0.248,0.086,1051,275,1241,1933,1321,1382,253,1212,50,0.000,1,537,1,26.992,1.552,0.938,-26.938,-1.438,0.426,0.004,1.063,-1.336,0.789,1.273,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,106,106,0,106,1039145.457,-0.965,-0.009,-0.249,0.086,654,244,1204,1661,1289,1308,179,1190,50,0.000,1,537,1,31.881,1.661,-4.125,-31.375,-3.875,0.445,0.039,1.125,-1.426,0.852,1.273,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,106,106,0,106,1039150.458,-0.964,-0.009,-0.251,0.085,343,170,1179,1325,1202,1223,119,1174,50,0.000,1,537,1,36.689,1.863,-10.813,-34.625,-5.500,0.535,0.141,1.086,-1.426,1.199,1.879,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,121,121,0,121,1039155.458,-0.964,-0.010,-0.252,0.085,77,114,1175,939,1085,1112,101,1170,50,0.000,1,537,0,42.495,2.346,-14.938,-39.563,4.188,0.559,0.102,1.195,-1.207,2.012,1.891,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,121,121,0,121,1039160.458,-0.963,-0.011,-0.254,0.086,0,45,1136,531,1139,985,87,1161,50,0.000,1,537,0,53.440,2.346,-25.500,-44.375,15.375,0.523,0.000,1.250,-1.207,2.012,2.949,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,128,128,0,128,1039165.457,-0.963,-0.012,-0.256,0.086,0,7,1103,192,1107,906,62,1151,50,0.000,1,537,0,68.949,1.935,-39.438,-52.438,21.188,0.477,-0.074,1.215,-1.652,1.008,2.949,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,128,128,0,128,1039170.458,-0.962,-0.014,-0.259,0.086,0,2,1054,18,1135,851,55,1141,50,0.000,1,537,0,69.525,1.672,-35.438,-59.125,9.063,0.520,-0.082,1.113,-1.652,0.254,2.844,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,140,140,0,140,1039175.458,-0.961,-0.013,-0.261,0.086,0,0,997,0,1115,773,43,1113,50,0.000,1,537,0,60.964,1.861,-3.250,-59.000,-15.000,0.652,-0.008,1.555,-1.844,0.254,2.844,0.000,0.000,0.482,0.445,2,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,140,140,0,140,1039180.458,-0.961,-0.014,-0.264,0.085,0,0,927,0,1033,677,33,1014,50,0.000,1,537,0,77.571,2.315,-31.250,-70.938,-2.938,0.656,-0.168,2.027,-2.301,0.254,6.527,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,167,167,0,167,1039185.458,-0.960,-0.017,-0.267,0.086,0,0,883,0,925,586,9,907,50,0.000,1,537,0,106.861,4.532,-64.313,-83.875,15.750,0.594,-0.148,1.922,-4.531,-0.066,9.410,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,167,167,0,167,1039190.458,-0.958,-0.020,-0.271,0.085,0,4,813,0,883,441,0,796,50,0.000,1,537,0,125.169,4.532,-73.750,-100.813,8.063,0.508,-0.031,1.473,-4.531,-0.066,9.410,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,173,173,0,173,1039195.457,-0.957,-0.022,-0.276,0.084,0,5,761,0,843,367,0,734,50,0.000,1,537,0,123.255,3.517,-54.000,-110.563,-7.188,0.563,0.363,1.258,-3.395,0.922,5.035,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,173,173,0,173,1039200.458,-0.956,-0.023,-0.281,0.083,0,8,697,0,757,317,0,681,50,0.000,1,537,0,129.390,5.401,-52.313,-116.063,-23.125,0.750,0.344,1.379,-2.504,4.785,5.035,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,173,173,0,173,1039205.458,-0.954,-0.025,-0.287,0.082,0,2,638,0,687,269,0,631,50,0.000,1,537,0,134.838,5.079,-58.750,-121.250,-5.313,0.898,0.242,1.477,-1.703,4.785,5.035,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,173,173,0,173,1039210.458,-0.952,-0.027,-0.292,0.083,0,1,600,0,0,264,0,575,50,0.000,1,537,0,144.243,4.648,-69.313,-124.625,21.688,0.848,0.203,1.492,-1.703,4.324,6.578,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,181,181,0,181,1039215.457,-0.951,-0.031,-0.297,0.084,0,7,541,11,0,235,0,531,50,0.000,1,537,0,160.107,4.283,-84.250,-130.063,40.250,0.699,0.207,1.348,-1.730,3.918,6.578,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,181,181,0,181,1039220.458,-0.949,-0.035,-0.303,0.084,0,0,457,51,0,180,0,486,50,0.000,1,537,0,164.313,4.126,-87.500,-133.750,38.125,0.641,0.191,1.078,-1.730,3.746,4.563,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,188,188,0,188,1039225.459,-0.946,-0.037,-0.309,0.085,0,4,375,81,0,141,0,485,50,0.000,1,537,0,157.211,3.745,-72.250,-136.500,29.375,0.770,0.047,0.961,-1.363,3.488,2.066,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,188,188,0,188,1039230.457,-0.944,-0.039,-0.315,0.086,0,4,296,105,0,101,0,429,50,0.000,1,537,0,157.525,2.650,-58.438,-140.938,39.188,0.871,0.059,0.859,0.336,2.629,2.012,0.000,0.000,0.482,0.445,3,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,196,196,0,196,1039235.459,-0.942,-0.042,-0.321,0.088,0,1,212,117,0,79,0,398,50,0.000,1,537,0,160.016,2.867,-44.563,-141.250,60.563,0.844,0.215,0.836,1.145,2.629,1.781,0.000,0.000,0.482,0.445,4,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,196,196,0,196,1039240.457,-0.940,-0.044,-0.327,0.091,0,0,139,123,0,54,0,348,50,0.000,1,537,0,154.968,4.059,-35.813,-137.688,61.438,0.793,0.188,1.000,1.145,3.895,1.781,0.000,0.000,0.482,0.445,4,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,211,211,0,211,1039245.457,-0.938,-0.046,-0.332,0.093,0,0,95,123,0,31,0,341,50,0.000,1,537,0,155.856,3.913,-40.000,-137.313,61.938,0.777,0.137,1.141,-0.379,3.895,2.207,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,211,211,0,211,1039250.457,-0.935,-0.048,-0.337,0.096,0,2,43,121,0,9,0,327,50,0.000,1,537,0,157.716,4.151,-50.313,-128.750,75.938,0.684,0.199,1.188,-1.438,3.895,2.867,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,220,220,0,220,1039255.460,-0.933,-0.052,-0.342,0.099,0,3,8,107,0,0,0,303,50,0.000,1,537,0,159.321,4.817,-62.313,-113.313,93.063,0.398,0.344,1.262,-2.695,3.992,2.867,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,220,220,0,220,1039260.457,-0.931,-0.056,-0.346,0.102,0,1,5,76,0,0,0,298,50,0.000,1,537,0,165.162,7.444,-84.938,-99.250,101.063,0.055,0.473,1.301,-5.605,4.898,1.344,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,226,226,0,226,1039265.456,-0.929,-0.062,-0.350,0.104,0,2,0,55,0,0,0,309,50,0.000,1,537,0,159.704,9.777,-107.500,-85.000,82.000,-0.109,0.461,1.082,-8.461,4.898,-0.848,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,226,226,0,226,1039270.457,-0.927,-0.066,-0.353,0.105,0,3,0,57,0,0,0,331,50,0.000,1,537,0,131.675,9.773,-98.625,-67.875,54.813,-0.066,0.301,0.934,-8.461,4.891,-3.570,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,264,264,0,264,1039275.457,-0.926,-0.070,-0.355,0.106,0,2,0,53,0,0,0,350,50,0.000,1,537,0,112.694,8.947,-84.750,-55.438,49.438,-0.066,0.211,1.133,-8.254,3.453,-3.570,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,264,264,0,264,1039280.457,-0.925,-0.075,-0.357,0.107,0,5,0,56,0,0,0,361,50,0.000,1,537,0,124.160,8.947,-97.625,-48.500,59.438,-0.223,0.391,1.109,-8.254,3.453,-4.148,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,265,265,0,265,1039285.456,-0.924,-0.080,-0.359,0.108,0,1,0,73,0,0,0,367,50,0.000,1,537,0,130.872,8.710,-112.875,-43.000,50.375,-0.402,0.207,0.691,-8.254,2.781,-4.223,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,265,265,0,265,1039290.457,-0.923,-0.083,-0.361,0.108,0,2,0,75,0,0,0,371,50,0.000,1,537,0,87.677,7.908,-77.438,-34.125,22.938,-0.480,0.148,0.176,-7.734,1.648,-7.977,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,265,265,0,265,1039295.457,-0.922,-0.084,-0.362,0.107,0,6,0,61,0,0,0,362,50,0.000,1,537,0,33.374,6.532,-21.188,-24.938,-6.563,-0.531,0.332,0.328,-6.320,1.648,-11.715,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,265,265,0,265,1039300.457,-0.922,-0.084,-0.363,0.106,0,4,0,56,0,0,0,355,50,0.000,1,537,0,38.973,6.675,-3.063,-17.625,-34.625,-0.434,0.488,0.648,-6.320,2.148,-11.715,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,266,266,0,266,1039305.457,-0.922,-0.083,-0.363,0.104,0,2,0,53,0,0,0,348,50,0.000,1,537,0,48.572,8.433,2.125,-12.313,-46.938,-0.254,0.410,0.766,-7.395,4.055,-9.238,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,266,266,0,266,1039310.457,-0.922,-0.082,-0.364,0.103,0,2,0,53,0,0,0,343,50,0.000,1,537,0,42.891,8.560,7.313,-8.313,-41.438,-0.219,0.348,0.832,-7.539,4.055,-7.066,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,289,289,0,289,1039315.456,-0.922,-0.081,-0.364,0.101,0,0,0,53,0,0,0,333,50,0.000,1,537,0,42.075,8.560,7.875,-4.125,-41.125,-0.293,0.418,0.906,-7.539,4.055,-6.367,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,289,289,0,289,1039320.457,-0.922,-0.080,-0.364,0.099,0,0,0,47,0,0,0,332,50,0.000,1,537,0,50.887,9.593,3.438,1.438,-50.750,-0.293,0.438,0.922,-8.633,4.184,-6.262,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,290,290,0,290,1039325.457,-0.923,-0.079,-0.364,0.097,0,0,0,48,0,0,0,341,50,0.000,1,537,0,54.426,9.593,-1.250,7.625,-53.875,-0.215,0.367,0.887,-8.633,4.184,-6.262,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,290,290,0,290,1039330.457,-0.923,-0.078,-0.364,0.095,0,1,0,51,0,0,0,343,50,0.000,1,537,0,49.536,8.785,-3.563,13.375,-47.563,-0.207,0.328,0.824,-7.863,3.918,-6.133,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,302,302,0,302,1039335.459,-0.924,-0.078,-0.364,0.093,0,0,0,50,0,0,0,344,50,0.000,1,537,0,50.636,8.162,-2.125,18.563,-47.063,-0.250,0.348,0.773,-7.352,3.547,-6.133,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,302,302,0,302,1039340.457,-0.924,-0.077,-0.363,0.091,0,0,0,41,0,0,0,341,50,0.000,1,537,0,58.376,8.110,1.438,23.313,-53.500,-0.242,0.336,0.738,-7.301,3.531,-6.805,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,309,309,0,309,1039345.456,-0.925,-0.076,-0.362,0.088,0,0,0,35,0,0,0,335,50,0.000,1,537,0,62.746,7.784,6.688,27.375,-56.063,-0.184,0.313,0.715,-6.973,3.461,-6.805,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,309,309,0,309,1039350.457,-0.926,-0.075,-0.361,0.086,0,0,0,35,0,0,0,325,50,0.000,1,537,0,63.358,7.213,13.000,30.813,-53.813,-0.152,0.305,0.727,-6.387,3.352,-6.641,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,316,316,0,316,1039355.458,-0.926,-0.073,-0.360,0.084,0,0,0,22,0,0,0,318,50,0.000,1,537,0,65.289,7.092,17.938,33.938,-52.813,-0.137,0.309,0.750,-6.250,3.352,-6.316,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,316,316,0,316,1039360.457,-0.927,-0.072,-0.358,0.082,0,0,0,5,0,0,0,313,50,0.000,1,537,0,68.512,7.092,22.063,37.125,-53.188,-0.102,0.293,0.773,-6.223,3.402,-6.035,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,331,331,0,331,1039365.457,-0.928,-0.070,-0.357,0.081,0,0,0,2,0,0,0,315,50,0.000,1,537,0,70.200,6.989,25.563,40.438,-51.375,-0.047,0.270,0.801,-6.105,3.402,-5.547,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,331,331,0,331,1039370.457,-0.929,-0.068,-0.355,0.079,0,0,0,0,0,0,0,316,50,0.000,1,537,0,70.378,6.727,27.938,44.313,-47.000,-0.008,0.250,0.832,-5.855,3.313,-4.930,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,338,338,0,338,1039375.457,-0.930,-0.066,-0.353,0.077,0,0,0,0,0,0,0,310,50,0.000,1,537,0,70.630,6.584,28.813,48.500,-42.500,0.020,0.223,0.852,-5.746,3.215,-4.379,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,338,338,0,338,1039380.457,-0.931,-0.065,-0.351,0.076,0,0,0,0,0,0,0,311,50,0.000,1,537,0,72.303,6.383,30.125,53.000,-38.875,0.039,0.195,0.867,-5.621,3.023,-4.000,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,370,370,0,370,1039385.457,-0.932,-0.063,-0.349,0.075,0,0,0,0,0,0,0,311,50,0.000,1,537,0,74.706,6.184,31.500,57.500,-35.813,0.066,0.180,0.879,-5.516,2.797,-3.672,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,370,370,0,370,1039390.457,-0.933,-0.061,-0.347,0.074,0,0,0,0,0,0,0,313,50,0.000,1,537,0,77.168,5.990,32.250,62.313,-32.125,0.098,0.160,0.887,-5.352,2.691,-3.316,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,370,370,0,370,1039395.457,-0.934,-0.060,-0.344,0.073,0,0,0,0,0,0,0,315,50,0.000,1,537,0,80.289,5.725,33.688,67.313,-27.938,0.117,0.137,0.875,-5.125,2.551,-3.016,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,370,370,0,370,1039400.457,-0.936,-0.058,-0.341,0.072,0,0,0,0,0,0,0,313,50,0.000,1,537,0,85.029,5.364,36.813,72.563,-24.688,0.133,0.117,0.875,-4.832,2.328,-2.898,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,389,389,0,389,1039405.457,-0.937,-0.056,-0.338,0.072,0,0,0,0,0,0,0,313,50,0.000,1,537,0,90.919,5.125,40.313,78.125,-23.188,0.160,0.094,0.898,-4.660,2.133,-2.723,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,389,389,0,389,1039410.457,-0.938,-0.055,-0.334,0.071,0,0,2,0,0,0,0,310,50,0.000,1,537,0,96.297,4.939,43.125,83.438,-21.250,0.199,0.074,0.930,-4.535,1.957,-2.289,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,390,390,0,390,1039415.456,-0.940,-0.053,-0.330,0.071,0,0,20,0,0,0,0,298,50,0.000,1,537,0,101.049,4.743,44.813,88.813,-17.750,0.234,0.063,0.961,-4.363,1.859,-1.754,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,390,390,0,390,1039420.457,-0.941,-0.051,-0.326,0.070,0,0,28,0,0,0,0,287,50,0.000,1,537,0,105.063,4.594,45.125,93.813,-14.188,0.258,0.055,0.996,-4.223,1.809,-1.230,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
pre_stim,391,391,0,391,1039425.457,-0.943,-0.049,-0.322,0.070,0,0,42,0,0,0,0,287,50,0.000,1,537,0,108.419,4.517,44.625,98.063,-12.125,0.285,0.035,1.023,-4.168,1.742,-0.781,0.000,0.000,0.482,0.445,0,NULL,NULL,,2,0,1,7,255,1178,250,0,0
